TIME,AREA,SRC_NUCL,SRC_BCOAL,SRC_HCOAL,SRC_OIL,SRC_LNG,SRC_PUMP,SRC_FUELCELL,SRC_COALGAS,SRC_SOLAR,SRC_WIND,SRC_WATER,SRC_SEA,SRC_BIO,SRC_WASTE,SRC_RECYCLE_SUM,SRC_OTHER,SRC_ALL,RECYCLE_PERCENT
03-18,울산,1400,0,0,1200,2514.7,0,2.8,0,25.859212,1.65,0.3,0,0,1.8,32.409212,16.4,5163.509212,0.627658646
03-18,경기,0,76.955,0,1443.65,14835.177,400,106.22,0,274.271342,5.25,276.255,254,58.714,32.174,1006.884342,0,17762.66634,5.668542789
03-18,강원,0,3234,600,0,1279.2,1000,0,0,353.633335,323.447,516.833,0,156.78,14.278,1364.971335,0,7478.171335,18.2527422
03-18,충북,0,0,0,58.3,0,0,0,0,258.020788,0,511.004,0,2.14,53.054,824.218788,0,882.518788,93.39390835
03-18,충남,0,17991.978,0,469.57,3713.45,0,11.18,346.33,668.062298,2.02,32.829,0,141.08,806.33,2007.831298,0,24182.8293,8.302714597
03-18,전북,0,697.369,0,6.83,718.4,600,5.22,0,925.974851,19.5,74.904,0,63.207,10.455,1099.260851,60,3181.859851,34.54774574
03-18,전남,5900,1481.1,0,21.65,2378.9,0,15.4,0,1263.217508,197.15,39.221,1.11,4.619,315.47,1836.187508,0,11617.83751,15.80489921
03-18,경북,10678.683,144.5,0,30.1,361.6,1400,2.4,0,665.118254,337.01,179.73,0,3.5,272.955,1460.713254,3.09,14078.68625,10.37535199
03-18,경남,0,7240,0,43.45,0,1300,0,0,392.130543,47.836,137.239,0,5.721,4.573,587.499543,0.3,9171.249543,6.405883301
03-18,제주,0,0,0,706.19,0,0,0,0,126.561033,273.6094,0.4794,0,7.139,0,407.788833,0,1113.978833,36.6065154
03-18,세종,0,0,0,0,530.441,0,0,0,26.672099,0,2.31,0,5,3.25,37.232099,0,567.673099,6.558721748
03-18,소계,22528.683,36037.802,600,4147.47,37352.697,4700,252.62,346.33,5281.807068,1266.2224,1789.5744,255.11,536.112,1570.929,11298.70487,81.51,116746.8669,9.677951256
02-18,서울,0,0,0,0,64,0,42,0,30.107756,0,0.416,0,6.865,18.45,97.838756,0,161.838756,60.45446617
02-18,부산,4550,19,0,0,1845.836,0,37.6,0,67.950077,9.75,0.065,0,6.348,33.9,155.613077,0,6570.449077,2.3683781
02-18,대구,0,72.9,0,43.5,370.7,0,11.2,0,39.878627,0,3.56,0,4.5,0,59.138627,0,546.238627,10.82651868
02-18,인천,0,5080,0,36.23,8576.747,0,18.6,0,44.605349,49,12.599,0,68.26,2.98,196.044349,1.72,13890.74135,1.411331074
02-18,광주,0,0,0,0,115.246,0,0,0,91.983913,0,1.83,0,2.14,1.26,97.213913,0,212.459913,45.75635546
02-18,대전,0,0,0,88,48.3,0,0,0,20.329618,0,0,0,0.099,0,20.428618,0,156.728618,13.03438916
02-18,울산,1400,0,0,1200,2514.7,0,2.8,0,23.989332,1.65,0.3,0,0,1.8,30.539332,16.4,5161.639332,0.591659549
02-18,경기,0,76.955,0,1443.65,14835.177,400,100.5,0,251.038372,5.25,276.255,254,15.514,28.274,930.831372,0,17686.61337,5.262914683
02-18,강원,0,3234,600,0,1279.2,1000,0,0,312.763675,291.247,516.833,0,156.78,14.278,1291.901675,0,7405.101675,17.44610313
02-18,충북,0,0,0,61.4,0,0,0,0,243.185058,0,511.004,0,2.14,53.054,809.383058,0,870.783058,92.94887522
02-18,충남,0,17991.978,0,469.57,3713.45,0,11.18,346.33,638.262368,2.02,32.829,0,141.04,806.33,1977.991368,0,24152.98937,8.189426732
02-18,전북,0,757.369,0,6.83,718.4,600,5.22,0,901.715901,19.5,74.805,0,63.207,10.455,1074.902901,0,3157.501901,34.04282673
02-18,전남,5900,1481.1,0,21.65,2378.9,0,15.4,0,1231.151733,197.15,39.221,1.11,6.169,315.47,1805.671733,0,11587.32173,15.58316732
02-18,경북,10678.683,144.5,0,30.1,361.6,1400,2.4,0,634.354949,317.81,179.73,0,3.5,272.955,1410.749949,3.09,14028.72295,10.05615375
02-18,경남,0,7240,0,43.45,0,1300,0,0,378.789463,47.836,137.239,0,5.721,4.573,574.158463,0.3,9157.908463,6.269537038
02-18,제주,0,0,0,706.19,0,0,0,0,127.567773,273.6094,0.46,0,7.139,0,408.776173,0,1114.966173,36.66265246
02-18,세종,0,0,0,0,530.441,0,0,0,24.634999,0,2.31,0,5,3.25,35.194999,0,565.635999,6.22219927
02-18,소계,22528.683,36097.802,600,4150.57,37352.697,4700,246.9,346.33,5062.308963,1214.8224,1789.456,255.11,494.422,1567.029,10976.37836,21.51,116427.6404,9.42763963
01-18,서울,0,0,0,0,64,0,42,0,30.107756,0,0.416,0,6.865,18.45,97.838756,0,161.838756,60.45446617
01-18,부산,4550,19,0,0,1845.836,0,37.6,0,67.950077,9.75,0.065,0,6.348,33.9,155.613077,0,6570.449077,2.3683781
01-18,대구,0,72.9,0,43.5,370.7,0,11.2,0,39.878627,0,3.56,0,4.5,0,59.138627,0,546.238627,10.82651868
01-18,인천,0,5080,0,36.23,8576.747,0,18.6,0,44.605349,49,12.599,0,68.26,2.98,196.044349,1.72,13890.74135,1.411331074
01-18,광주,0,0,0,0,115.246,0,0,0,91.983913,0,1.83,0,2.14,1.26,97.213913,0,212.459913,45.75635546
01-18,대전,0,0,0,88,48.3,0,0,0,20.329618,0,0,0,0.099,0,20.428618,0,156.728618,13.03438916
01-18,울산,1400,0,0,1200,2514.7,0,2.8,0,23.989332,1.65,0.3,0,0,1.8,30.539332,16.4,5161.639332,0.591659549
01-18,경기,0,76.955,0,1443.65,14835.177,400,100.5,0,251.038372,5.25,276.255,254,15.514,28.274,930.831372,0,17686.61337,5.262914683
01-18,강원,0,3234,600,0,1279.2,1000,0,0,312.763675,291.247,516.833,0,156.78,14.278,1291.901675,0,7405.101675,17.44610313
01-18,충북,0,0,0,61.4,0,0,0,0,243.185058,0,511.004,0,2.14,53.054,809.383058,0,870.783058,92.94887522
01-18,충남,0,17991.978,0,469.57,3713.45,0,11.18,346.33,638.262368,2.02,32.829,0,141.04,806.33,1977.991368,0,24152.98937,8.189426732
01-18,전북,0,757.369,0,6.83,718.4,600,5.22,0,901.715901,19.5,74.805,0,63.207,10.455,1074.902901,0,3157.501901,34.04282673
01-18,전남,5900,1481.1,0,21.65,2378.9,0,15.4,0,1231.151733,197.15,39.221,1.11,6.169,315.47,1805.671733,0,11587.32173,15.58316732
01-18,경북,10678.683,144.5,0,30.1,361.6,1400,2.4,0,634.354949,317.81,179.73,0,3.5,272.955,1410.749949,3.09,14028.72295,10.05615375
01-18,경남,0,7240,0,43.45,0,1300,0,0,378.789463,47.836,137.239,0,5.721,4.573,574.158463,0.3,9157.908463,6.269537038
01-18,제주,0,0,0,706.19,0,0,0,0,127.567773,273.6094,0.46,0,7.139,0,408.776173,0,1114.966173,36.66265246
01-18,세종,0,0,0,0,530.441,0,0,0,24.634999,0,2.31,0,5,3.25,35.194999,0,565.635999,6.22219927
01-18,소계,22528.683,36097.802,600,4150.57,37352.697,4700,246.9,346.33,5062.308963,1214.8224,1789.456,255.11,494.422,1567.029,10976.37836,21.51,116427.6404,9.42763963
12-17,서울,0,0,0,0,64,0,42,0,29.752756,0,0.416,0,6.865,18.45,97.483756,0,161.483756,60.36753071
12-17,부산,4550,19,0,0,1845.836,0,37.6,0,67.950077,9.75,0.065,0,6.348,33.9,155.613077,0,6570.449077,2.3683781
12-17,대구,0,72.9,0,43.5,370.7,0,11.2,0,40.233627,0,3.56,0,4.5,0,59.493627,0,546.593627,10.88443481
12-17,인천,0,5080,0,36.23,8576.747,0,18.6,0,44.605349,49,12.599,0,68.26,2.98,196.044349,1.72,13890.74135,1.411331074
12-17,광주,0,0,0,0,115.246,0,0,0,91.983913,0,1.83,0,2.14,1.26,97.213913,0,212.459913,45.75635546
12-17,대전,0,0,0,88,48.3,0,0,0,20.329618,0,0,0,0.099,0,20.428618,0,156.728618,13.03438916
12-17,울산,1400,0,0,1200,2514.7,0,2.8,0,23.989332,1.65,0.3,0,0,1.8,30.539332,16.4,5161.639332,0.591659549
12-17,경기,0,76.955,0,1443.65,15315.177,400,100.5,0,251.038372,5.25,276.255,254,15.514,28.274,930.831372,0,18166.61337,5.123857446
12-17,강원,0,3234,600,0,1279.2,1000,0,0,312.763675,291.247,516.833,0,156.78,14.278,1291.901675,0,7405.101675,17.44610313
12-17,충북,0,0,0,61.4,0,0,0,0,243.185058,0,511.004,0,2.14,53.054,809.383058,0,870.783058,92.94887522
12-17,충남,0,17991.978,0,469.57,3713.45,0,11.18,346.33,638.262368,2.02,32.829,0,141.04,806.33,1977.991368,0,24152.98937,8.189426732
12-17,전북,0,757.369,0,6.83,718.4,600,5.22,0,901.715901,19.5,74.805,0,63.207,10.455,1074.902901,0,3157.501901,34.04282673
12-17,전남,5900,1481.1,0,21.65,2378.9,0,15.4,0,1231.151733,197.15,39.221,1.11,6.169,315.47,1805.671733,0,11587.32173,15.58316732
12-17,경북,10678.683,144.5,0,30.1,361.6,1400,2.4,0,634.354949,317.81,179.73,0,3.5,272.955,1410.749949,3.09,14028.72295,10.05615375
12-17,경남,0,7240,0,43.45,0,1300,0,0,378.789463,47.836,137.239,0,5.721,4.573,574.158463,0.3,9157.908463,6.269537038
12-17,제주,0,0,0,706.19,0,0,0,0,127.567773,273.6094,0.46,0,7.139,0,408.776173,0,1114.966173,36.66265246
12-17,세종,0,0,0,0,530.441,0,0,0,24.634999,0,2.31,0,5,3.25,35.194999,0,565.635999,6.22219927
12-17,소계,22528.683,36097.802,600,4150.57,37832.697,4700,246.9,346.33,5062.308963,1214.8224,1789.456,255.11,494.422,1567.029,10976.37836,21.51,116907.6404,9.388931578
12-16,서울,0,0,0,0,314,0,42,0,25.850096,0,0.4,0,6.865,18.45,93.565096,0,407.565096,22.95709248
12-16,부산,5137,19,0,0,1800,0,22.2,0,64.629997,9.75,0.065,0,6.348,24.8,127.792997,0,7083.792997,1.804019359
12-16,대구,0,72.9,0,43.5,370.7,0,11.2,0,33.632537,0,3.56,0,4.5,3,55.892537,0,542.992537,10.29342637
