DATE,AREA,SRC_NUCL,SRC_BCOAL,SRC_HCOAL,SRC_OIL,SRC_LNG,SRC_PUMP,SRC_FUELCELL,SRC_COALGAS,SRC_SOLAR,SRC_WIND,SRC_WATER,SRC_SEA,SRC_BIO,SRC_WASTE,SRC_RECYCLE_SUM,SRC_OTHER,SRC_ALL,RECYCLE_PERCENT
23-05-01,서울,0,0,0,0,802.346,0,66,0,46.57942,0,0.316,0,6.865,0,119.76042,27.95,950.05642,12.60561136
23-05-01,부산,4550,19,0,0,1845.836,0,41.68,0,184.04715,0.762,0.02,0,6.69,0,233.19915,33.9,6681.93515,3.489994212
23-05-01,대구,0,72.9,0,43.5,370.7,0,1.407,0,141.3324,0,3.56,0,4.5,0,150.7994,9.9,647.7994,23.27871869
23-05-01,인천,0,5080,0,36.23,8576.747,0,227.265,0,109.95119,49,12.599,0,78.23,0,477.04519,33.28,14203.30219,3.35869211
23-05-01,광주,0,0,0,0,115.246,0,21.035,0,250.566946,0,1.83,0,2.14,0,275.571946,4.36,395.177946,69.73363488
23-05-01,대전,0,0,0,0,48.3,0,7.165,0,45.037125,0,0,0,0.099,0,52.301125,88,188.601125,27.73107796
23-05-01,울산,2800,0,0,0,2514.7,0,35.978,0,84.520165,1.65,0.3,0,0,0,122.448165,21.9,5459.048165,2.243031409
23-05-01,경기,0,253.355,0,39.35,17611.857,400,256.49,0,1333.7263,5.271,276.109,254,59.703,0,2185.2993,58.155,20548.0163,10.63508646
23-05-01,강원,0,4274,400,0,1279.2,1000,34.296,0,1624.836921,522.548,520.095,0,371.265,0,3073.040921,13.39,10039.63092,30.60910252
23-05-01,충북,0,0,0,58.3,0,0,39.6,0,1203.644654,0,507.004,0,2.66,0,1752.908654,52.807,1876.015654,93.43784793
23-05-01,충남,0,18246.058,0,469.61,3713.45,0,63.92,346.33,2673.606291,2,32.297,0,382.8,0,3500.953291,9.39,25939.46129,13.49663068
23-05-01,전북,0,445.369,0,7.34,718.4,600,20.745,0,4053.995725,79.5,80.037,0,479.703,0,4713.980725,14.695,6499.784725,72.52518236
23-05-01,전남,5900,981.1,0,22.44,2378.9,0,50.08,0,5056.57269,425.475,37.098,1.08,2.869,0,5573.17469,23.17,14878.91359,37.45686576
23-05-01,경북,11400,156.1,0,18.5,361.6,1400,3.478,0,3022.148343,467.36,179.955,0,3.5,0,3676.441343,38.935,17051.57634,21.56071245
23-05-01,경남,0,8200,0,27.19,0,1300,4.515,0,1504.454775,86.186,145.469,0,15.355,0,1755.979775,4.283,11287.45278,15.55691802
23-05-01,제주,0,0,0,193.135,333.734,0,0,0,551.008195,291.69,0.8164,0.5,396.85,0,1240.864595,19.2,1787.433395,69.42158508
23-05-01,세종,0,0,0,0,530.441,0,5.28,0,67.178055,0,2.31,0,5,0,79.768055,3.25,613.459055,13.00299577
23-05-01,소계,24650,37727.882,400,915.595,41201.457,4700,878.934,346.33,21953.20635,1931.442,1799.8154,255.58,1818.229,0,28983.53675,456.565,139047.6644,20.84431757
23-04-01,서울,0,0,0,0,802.346,0,66,0,46.57942,0,0.316,0,6.865,0,119.76042,27.95,950.05642,12.60561136
23-04-01,부산,4550,19,0,0,1845.836,0,41.68,0,184.04715,0.762,0.02,0,6.69,0,233.19915,33.9,6681.93515,3.489994212
23-04-01,대구,0,72.9,0,43.5,370.7,0,1.407,0,141.3324,0,3.56,0,4.5,0,150.7994,9.9,647.7994,23.27871869
23-04-01,인천,0,5080,0,36.23,8576.747,0,227.265,0,109.95119,49,12.599,0,78.23,0,477.04519,33.28,14203.30219,3.35869211
23-04-01,광주,0,0,0,0,115.246,0,21.035,0,250.566946,0,1.83,0,2.14,0,275.571946,4.36,395.177946,69.73363488
23-04-01,대전,0,0,0,0,48.3,0,7.165,0,45.037125,0,0,0,0.099,0,52.301125,88,188.601125,27.73107796
23-04-01,울산,2800,0,0,0,2514.7,0,35.978,0,84.520165,1.65,0.3,0,0,0,122.448165,21.9,5459.048165,2.243031409
23-04-01,경기,0,253.355,0,39.35,17611.857,400,256.49,0,1333.7263,5.271,276.109,254,59.703,0,2185.2993,58.155,20548.0163,10.63508646
23-04-01,강원,0,4274,400,0,1279.2,1000,34.296,0,1624.836921,522.548,520.095,0,371.265,0,3073.040921,13.39,10039.63092,30.60910252
23-04-01,충북,0,0,0,58.3,0,0,39.6,0,1203.644654,0,507.004,0,2.66,0,1752.908654,52.807,1876.015654,93.43784793
23-04-01,충남,0,18246.058,0,469.61,3713.45,0,63.92,346.33,2673.606291,2,32.297,0,382.8,0,3500.953291,9.39,25939.46129,13.49663068
23-04-01,전북,0,445.369,0,7.34,718.4,600,20.745,0,4053.995725,79.5,80.037,0,479.703,0,4713.980725,14.695,6499.784725,72.52518236
23-04-01,전남,5900,981.1,0,22.44,2378.9,0,50.08,0,5056.57269,425.475,37.098,1.08,2.869,0,5573.17469,23.17,14878.91359,37.45686576
23-04-01,경북,11400,156.1,0,18.5,361.6,1400,3.478,0,3022.148343,467.36,179.955,0,3.5,0,3676.441343,38.935,17051.57634,21.56071245
23-04-01,경남,0,8200,0,27.19,0,1300,4.515,0,1504.454775,86.186,145.469,0,15.355,0,1755.979775,4.283,11287.45278,15.55691802
23-04-01,제주,0,0,0,193.135,333.734,0,0,0,551.008195,291.69,0.8164,0.5,396.85,0,1240.864595,19.2,1787.433395,69.42158508
23-04-01,세종,0,0,0,0,530.441,0,5.28,0,67.178055,0,2.31,0,5,0,79.768055,3.25,613.459055,13.00299577
23-04-01,소계,24650,37727.882,400,915.595,41201.457,4700,878.934,346.33,21953.20635,1931.442,1799.8154,255.58,1818.229,0,28983.53675,456.565,139047.6644,20.84431757
23-03-01,서울,0,0,0,0,802.346,0,68.4,0,46.838085,0,0.316,0,6.865,0,122.419085,27.95,952.715085,12.84949582
23-03-01,부산,4550,19,0,0,1845.836,0,41.68,0,181.692115,0.762,0.02,0,6.69,0,230.844115,33.9,6679.580115,3.455967456
23-03-01,대구,0,72.9,0,43.5,370.7,0,1.407,0,139.727635,0,3.56,0,4.5,0,149.194635,9.9,646.194635,23.08818844
23-03-01,인천,0,5080,0,36.23,8576.747,0,227.265,0,109.92809,49,12.599,0,78.23,0,477.02209,33.28,14203.27909,3.358534934
23-03-01,광주,0,0,0,0,115.246,0,21.035,0,248.842936,0,1.83,0,2.14,0,273.847936,4.36,393.453936,69.60101576
23-03-01,대전,0,0,0,0,48.3,0,7.165,0,46.805195,0,0,0,0.099,0,54.069195,88,190.369195,28.40228168
23-03-01,울산,2800,0,0,0,2514.7,0,35.978,0,84.333925,1.65,0.3,0,0,0,122.261925,21.9,5458.861925,2.239696235
23-03-01,경기,0,253.355,0,39.35,17611.857,400,256.49,0,1340.95741,5.326,276.109,254,59.953,0,2192.83541,58.155,20555.55241,10.66784957
23-03-01,강원,0,4274,400,0,1279.2,1000,34.296,0,1608.145986,522.548,520.095,0,361.315,0,3046.399986,13.39,10012.98999,30.42447851
23-03-01,충북,0,0,0,58.3,0,0,39.6,0,1188.855819,0,507.004,0,2.66,0,1738.119819,52.807,1861.226819,93.38570674
23-03-01,충남,0,18246.058,0,469.61,3713.45,0,63.92,346.33,2682.138386,2,32.297,0,379.2,0,3505.885386,9.39,25944.39339,13.51307519
23-03-01,전북,0,445.369,0,7.34,718.4,600,21.185,0,4052.227715,79.5,80.037,0,479.703,0,4712.652715,14.695,6498.456715,72.51956767
23-03-01,전남,5900,981.1,0,22.44,2378.9,0,50.08,0,5066.265665,425.475,37.098,1.08,2.936,0,5582.934665,23.17,14888.67356,37.49786467
23-03-01,경북,11400,156.1,0,18.5,361.6,1400,3.778,0,3026.338788,467.36,180.855,0,3.5,0,3681.831788,38.935,17056.96679,21.5855013
23-03-01,경남,0,8200,0,27.19,0,1300,4.515,0,1495.25172,86.186,145.469,0,15.355,0,1746.77672,4.283,11278.24972,15.48801244
23-03-01,제주,0,0,0,193.135,333.734,0,0,0,577.604955,291.7894,1.2164,0.5,396.949,0,1268.059755,19.2,1814.628555,69.87985235
23-03-01,세종,0,0,0,0,530.441,0,5.28,0,66.893685,0,2.31,0,5,0,79.483685,3.25,613.174685,12.96264946
23-03-01,소계,24650,37727.882,400,915.595,41201.457,4700,882.074,346.33,21962.84811,1931.5964,1801.1154,255.58,1805.095,0,28984.63891,456.565,139048.7666,20.84494499
23-02-01,서울,0,0,0,0,802.346,0,68.4,0,46.838085,0,0.316,0,6.865,0,122.419085,27.95,952.715085,12.84949582
23-02-01,부산,4550,19,0,0,1845.836,0,41.68,0,175.387735,0.762,0.02,0,6.69,0,224.539735,33.9,6673.275735,3.364760335
23-02-01,대구,0,72.9,0,43.5,370.7,0,1.407,0,138.58805,0,3.56,0,4.5,0,148.05505,9.9,645.05505,22.95231236
23-02-01,인천,0,5080,0,36.23,8576.747,0,227.265,0,105.726335,49,12.599,0,78.23,0,472.820335,33.28,14199.07734,3.329937036
23-02-01,광주,0,0,0,0,115.246,0,21.035,0,246.834756,0,1.83,0,2.14,0,271.839756,4.36,391.445756,69.44506406
23-02-01,대전,0,0,0,0,48.3,0,7.165,0,46.226535,0,0,0,0.099,0,53.490535,88,189.790535,28.18398452
23-02-01,울산,2800,0,0,0,2514.7,0,27.878,0,80.32527,1.65,0.3,0,0,0,110.15327,21.9,5446.75327,2.022365702
23-02-01,경기,0,253.355,0,39.35,17611.857,400,256.49,0,1329.782655,5.326,276.109,254,59.953,0,2181.660655,58.155,20544.37766,10.61925891
23-02-01,강원,0,4274,400,0,1279.2,1000,34.296,0,1598.892621,522.548,520.095,0,361.315,0,3037.146621,13.39,10003.73662,30.36012178
23-02-01,충북,0,0,0,58.3,0,0,39.6,0,1168.257884,0,507.004,0,2.66,0,1717.521884,52.807,1840.628884,93.31168814
